time [s],CHANNEL1 [V]
-0.0025,0.5562499328
-0.0024975,0.5562499328
-0.0024950000000000003,0.5562499328
-0.0024925,0.5624999424
-0.00249,0.5624999424
-0.0024875,0.5624999424
-0.0024850000000000002,0.568749952
-0.0024825,0.5624999424
-0.00248,0.5749999616
-0.0024775,0.5624999424
-0.002475,0.5749999616
-0.0024725,0.5749999616
-0.00247,0.5812499712
-0.0024675,0.5812499712
-0.002465,0.5749999616
-0.0024625,0.5812499712
-0.00246,0.5812499712
-0.0024575,0.5812499712
-0.002455,0.5874999808
-0.0024525000000000003,0.5874999808
-0.00245,0.5874999808
-0.0024475,0.5874999808
-0.002445,0.5937499904
-0.0024425000000000002,0.5874999808
-0.00244,0.6
-0.0024375,0.6
-0.002435,0.5937499904
-0.0024325,0.6
-0.00243,0.6
-0.0024275,0.6
-0.002425,0.6062500096
-0.0024225,0.5937499904
-0.00242,0.6062500096
-0.0024175,0.6062500096
-0.002415,0.6062500096
-0.0024125,0.6187500288
-0.0024100000000000002,0.6125000192
-0.0024075,0.6187500288
-0.002405,0.6125000192
-0.0024025,0.6187500288
-0.0024000000000000002,0.6250000384
-0.0023975,0.6187500288
-0.002395,0.6125000192
-0.0023925,0.6250000384
-0.00239,0.631250048
-0.0023875,0.6250000384
-0.002385,0.631250048
-0.0023825,0.631250048
-0.00238,0.631250048
-0.0023775,0.6375000576
-0.002375,0.6375000576
-0.0023725,0.6375000576
-0.00237,0.6500000767999999
-0.0023675,0.6437500671999999
-0.002365,0.6500000767999999
-0.0023625,0.6437500671999999
-0.00236,0.6562500863999999
-0.0023575000000000002,0.6562500863999999
-0.002355,0.6500000767999999
-0.0023525,0.6562500863999999
-0.00235,0.6500000767999999
-0.0023475,0.6562500863999999
-0.002345,0.662500096
-0.0023425,0.662500096
-0.00234,0.6562500863999999
-0.0023375,0.662500096
-0.002335,0.662500096
-0.0023325,0.662500096
-0.00233,0.6687501056
-0.0023275,0.6750001152
-0.002325,0.6687501056
-0.0023225,0.6687501056
-0.00232,0.6875001344
-0.0023175,0.6750001152
-0.0023150000000000002,0.693750144
-0.0023125,0.6875001344
-0.00231,0.6875001344
-0.0023075,0.6875001344
-0.002305,0.6875001344
-0.0023025,0.693750144
-0.0023,0.6750001152
-0.0022975,0.6812501248
-0.002295,0.6687501056
-0.0022925,0.6687501056
-0.00229,0.6750001152
-0.0022875,0.6750001152
-0.002285,0.662500096
-0.0022825,0.6687501056
-0.00228,0.6687501056
-0.0022775,0.662500096
-0.002275,0.6687501056
-0.0022725,0.662500096
-0.00227,0.662500096
-0.0022675,0.6562500863999999
-0.002265,0.6562500863999999
-0.0022625,0.662500096
-0.00226,0.6562500863999999
-0.0022575,0.662500096
-0.002255,0.6562500863999999
-0.0022525,0.6562500863999999
-0.0022500000000000003,0.6562500863999999
-0.0022475,0.6500000767999999
-0.002245,0.6500000767999999
-0.0022425,0.6500000767999999
-0.00224,0.6437500671999999
-0.0022375,0.6437500671999999
-0.002235,0.6437500671999999
-0.0022325,0.6437500671999999
-0.00223,0.6375000576
-0.0022275,0.6375000576
-0.002225,0.6375000576
-0.0022225,0.6375000576
-0.00222,0.6375000576
-0.0022175,0.6375000576
-0.002215,0.631250048
-0.0022125,0.6375000576
-0.00221,0.631250048
-0.0022075000000000003,0.631250048
-0.002205,0.6375000576
-0.0022025,0.631250048
-0.0022,0.6250000384
-0.0021975,0.6125000192
-0.002195,0.6187500288
-0.0021925,0.6187500288
-0.00219,0.6125000192
-0.0021875,0.6187500288
-0.002185,0.6125000192
-0.0021825,0.6125000192
-0.00218,0.6062500096
-0.0021775,0.6187500288
-0.002175,0.6125000192
-0.0021725,0.6062500096
-0.00217,0.6125000192
-0.0021675,0.6062500096
-0.0021650000000000003,0.6062500096
-0.0021625,0.6062500096
-0.00216,0.6062500096
-0.0021575,0.6
-0.002155,0.6062500096
-0.0021525,0.6
-0.00215,0.6
-0.0021475,0.5937499904
-0.002145,0.5937499904
-0.0021425,0.5937499904
-0.00214,0.5874999808
-0.0021375,0.5874999808
-0.002135,0.5874999808
-0.0021325,0.5812499712
-0.00213,0.5874999808
-0.0021275,0.5874999808
-0.002125,0.5812499712
-0.0021225000000000003,0.5812499712
-0.00212,0.5812499712
-0.0021175,0.5749999616
-0.002115,0.5749999616
-0.0021125,0.5749999616
-0.00211,0.5749999616
-0.0021075,0.5749999616
-0.002105,0.568749952
-0.0021025,0.5624999424
-0.0021,0.568749952
-0.0020975,0.5624999424
-0.002095,0.5562499328
-0.0020925,0.5624999424
-0.00209,0.5624999424
-0.0020875,0.5499999232
-0.002085,0.5499999232
-0.0020825,0.5437499136
-0.0020800000000000003,0.5499999232
-0.0020775,0.5499999232
-0.002075,0.5437499136
-0.0020725,0.5437499136
-0.00207,0.5374999039999999
-0.0020675,0.5312498943999999
-0.002065,0.5374999039999999
-0.0020625,0.5374999039999999
-0.00206,0.5374999039999999
-0.0020575,0.5312498943999999
-0.002055,0.5312498943999999
-0.0020525,0.5249998847999999
-0.00205,0.5249998847999999
-0.0020475,0.5249998847999999
-0.002045,0.5249998847999999
-0.0020425,0.5187498751999999
-0.00204,0.5187498751999999
-0.0020375000000000002,0.5124998655999999
-0.002035,0.5124998655999999
-0.0020325,0.5062498559999999
-0.00203,0.5062498559999999
-0.0020275,0.5062498559999999
-0.002025,0.5062498559999999
-0.0020225,0.5062498559999999
-0.00202,0.49999984639999995
-0.0020175,0.49374983679999995
-0.002015,0.49999984639999995
-0.0020125,0.5062498559999999
-0.00201,0.49999984639999995
-0.0020075,0.49374983679999995
-0.002005,0.49374983679999995
-0.0020025,0.49374983679999995
-0.002,0.48749982719999996
-0.0019975,0.48749982719999996
-0.0019950000000000002,0.48749982719999996
-0.0019925,0.48124981759999996
-0.00199,0.47499980799999997
-0.0019875,0.47499980799999997
-0.001985,0.47499980799999997
-0.0019825,0.47499980799999997
-0.00198,0.4687497984
-0.0019775,0.4687497984
-0.001975,0.4687497984
-0.0019725,0.4624997888
-0.00197,0.4624997888
-0.0019675,0.4624997888
-0.001965,0.4562497792
-0.0019625,0.4624997888
-0.00196,0.4499997696
-0.0019575,0.4562497792
-0.001955,0.44374976
-0.0019525,0.4562497792
-0.00195,0.44374976
-0.0019475,0.44374976
-0.0019450000000000001,0.4499997696
-0.0019425,0.44374976
-0.0019399999999999999,0.44374976
-0.0019375,0.4374997504
-0.001935,0.4312497408
-0.0019325,0.4312497408
-0.0019299999999999999,0.4249997312
-0.0019275,0.4249997312
-0.001925,0.4249997312
-0.0019225000000000002,0.4187497216
-0.00192,0.4249997312
-0.0019175,0.41249971199999996
-0.001915,0.41249971199999996
-0.0019125000000000001,0.4187497216
-0.00191,0.40624970239999997
-0.0019075,0.4187497216
-0.001905,0.3999996928
-0.0019025000000000001,0.41249971199999996
-0.0019,0.40624970239999997
-0.0018974999999999999,0.40624970239999997
-0.001895,0.41249971199999996
-0.0018925,0.3999996928
-0.00189,0.3937496832
-0.0018874999999999999,0.3999996928
-0.001885,0.3874996736
-0.0018825,0.3937496832
-0.0018800000000000002,0.3874996736
-0.0018775,0.38124966399999993
-0.001875,0.3874996736
-0.0018725,0.38124966399999993
-0.0018700000000000001,0.37499965439999994
-0.0018675,0.38124966399999993
-0.001865,0.37499965439999994
-0.0018625,0.38124966399999993
-0.00186,0.37499965439999994
-0.0018575,0.37499965439999994
-0.0018549999999999999,0.37499965439999994
-0.0018525,0.36874964479999994
-0.00185,0.37499965439999994
-0.0018475,0.35624962559999995
-0.0018449999999999999,0.36249963519999995
-0.0018425,0.35624962559999995
-0.00184,0.35624962559999995
-0.0018375000000000002,0.36249963519999995
-0.001835,0.34374960639999996
-0.0018325,0.34999961599999996
-0.00183,0.34999961599999996
-0.0018275000000000001,0.34999961599999996
-0.001825,0.34374960639999996
-0.0018225,0.33749959679999997
-0.00182,0.34374960639999996
-0.0018175,0.33749959679999997
-0.001815,0.34374960639999996
-0.0018124999999999999,0.33749959679999997
-0.00181,0.33749959679999997
-0.0018075,0.3312495872
-0.001805,0.3312495872
-0.0018024999999999998,0.33749959679999997
-0.0018,0.3312495872
-0.0017975,0.3249995776
-0.0017950000000000002,0.3312495872
-0.0017925,0.3249995776
-0.00179,0.318749568
-0.0017875,0.318749568
-0.0017850000000000001,0.3124995584
-0.0017825,0.318749568
-0.00178,0.3062495488
-0.0017775,0.3124995584
-0.001775,0.3124995584
-0.0017725,0.3124995584
-0.0017699999999999999,0.3124995584
-0.0017675,0.2999995392
-0.001765,0.2999995392
-0.0017625,0.3062495488
-0.0017599999999999998,0.2999995392
-0.0017575,0.3062495488
-0.001755,0.2999995392
-0.0017525000000000002,0.2999995392
-0.00175,0.29374952959999995
-0.0017475,0.29374952959999995
-0.001745,0.29374952959999995
-0.0017425000000000001,0.29374952959999995
-0.00174,0.29374952959999995
-0.0017375,0.28749951999999995
-0.001735,0.28124951039999996
-0.0017325,0.27499950079999996
-0.00173,0.28749951999999995
-0.0017274999999999999,0.27499950079999996
-0.001725,0.27499950079999996
-0.0017225,0.27499950079999996
-0.00172,0.26874949119999997
-0.0017174999999999998,0.26874949119999997
-0.001715,0.27499950079999996
-0.0017125,0.26874949119999997
-0.0017100000000000001,0.26874949119999997
-0.0017075,0.26874949119999997
-0.001705,0.26874949119999997
-0.0017025,0.27499950079999996
-0.0017000000000000001,0.26874949119999997
-0.0016975,0.2624994816
-0.001695,0.27499950079999996
-0.0016925,0.2624994816
-0.00169,0.2624994816
-0.0016875,0.256249472
-0.0016849999999999999,0.256249472
-0.0016825,0.24999946239999998
-0.00168,0.256249472
-0.0016775,0.2437494528
-0.0016749999999999998,0.24999946239999998
-0.0016725,0.2437494528
-0.00167,0.24999946239999998
-0.0016675000000000001,0.21874941439999995
-0.001665,0.256249472
-0.0016625,0.24999946239999998
-0.00166,0.2624994816
-0.0016575000000000001,0.2624994816
-0.001655,0.2624994816
-0.0016524999999999999,0.26874949119999997
-0.00165,0.2624994816
-0.0016475,0.26874949119999997
-0.001645,0.27499950079999996
-0.0016424999999999999,0.26874949119999997
-0.00164,0.27499950079999996
-0.0016375,0.26874949119999997
-0.001635,0.26874949119999997
-0.0016324999999999998,0.28124951039999996
-0.00163,0.28124951039999996
-0.0016275,0.28124951039999996
-0.0016250000000000001,0.28124951039999996
-0.0016225,0.29374952959999995
-0.00162,0.29374952959999995
-0.0016175,0.28749951999999995
